Block Height,Mining Pool,Timestamp,Found In (min),Block Reward (BTC),Fees (BTC),Total Input (BTC),Size (MB),Tx Count
890579,"F2Pool",2025-04-02T16:07:11.000Z,1,3.127,0.002,801,0.14,417
890578,"Antpool",2025-04-02T16:06:31.000Z,1,3.132,0.007,611,0.60,1286
890577,"MARA Pool",2025-04-02T16:05:11.000Z,4,3.144,0.019,4203,1.66,3683
890576,"Foundry USA",2025-04-02T16:01:23.000Z,2,3.142,0.017,1398,1.54,2104
890575,"ViaBTC",2025-04-02T15:58:58.000Z,0,3.139,0.014,1697,1.51,2392
890574,"Antpool",2025-04-02T15:58:53.000Z,18,3.176,0.051,10090,1.59,3225
890573,"Foundry USA",2025-04-02T15:41:15.000Z,2,3.144,0.019,2721,1.75,3685
890572,"Antpool",2025-04-02T15:39:32.000Z,23,3.188,0.063,5826,1.58,3750
890571,"SBI Crypto",2025-04-02T15:16:35.000Z,5,3.141,0.016,3160,1.15,2496
890570,"Foundry USA",2025-04-02T15:12:02.000Z,0,3.129,0.004,2706,0.55,902
890569,"Carbon Negative",2025-04-02T15:11:41.000Z,11,3.157,0.032,4789,1.44,2472
890568,"Foundry USA",2025-04-02T15:00:21.000Z,4,3.138,0.013,1542,0.64,1183
890567,"Foundry USA",2025-04-02T14:56:35.000Z,1,3.130,0.005,474,0.42,918
890566,"Mining Squared",2025-04-02T14:55:09.000Z,3,3.135,0.010,2792,0.46,1038
890565,"ViaBTC",2025-04-02T14:52:11.000Z,3,3.139,0.014,2131,1.08,1497
890564,"Foundry USA",2025-04-02T14:48:43.000Z,1,3.136,0.011,899,1.28,2718
890563,"Braiins Pool",2025-04-02T14:47:17.000Z,5,3.144,0.019,5244,1.42,1609
890562,"Foundry USA",2025-04-02T14:42:04.000Z,6,3.148,0.023,5317,1.52,2177
890561,"Foundry USA",2025-04-02T14:36:23.000Z,19,3.172,0.047,5909,1.61,3752
890560,"Antpool",2025-04-02T14:17:50.000Z,0,3.136,0.011,1511,1.84,1901
890559,"Luxor",2025-04-02T14:17:35.000Z,18,3.183,0.058,10632,1.64,3738
890558,"WhitePool",2025-04-02T13:59:30.000Z,2,3.139,0.014,521,1.67,791
890557,"Carbon Negative",2025-04-02T13:57:59.000Z,13,3.167,0.042,5508,1.62,3265
890556,"F2Pool",2025-04-02T13:44:48.000Z,15,3.168,0.043,7407,1.57,3577
890555,"Luxor",2025-04-02T13:29:53.000Z,5,3.139,0.014,1663,0.95,1583
890554,"OCEAN",2025-04-02T13:24:44.000Z,6,3.143,0.018,3231,1.28,2066
890553,"Foundry USA",2025-04-02T13:18:18.000Z,1,3.127,0.002,176,0.10,298
890552,"Foundry USA",2025-04-02T13:17:26.000Z,4,3.135,0.010,2719,0.56,1148
890551,"F2Pool",2025-04-02T13:13:25.000Z,4,3.141,0.016,2872,1.16,2964
890550,"ViaBTC",2025-04-02T13:09:17.000Z,0,3.137,0.012,255,1.50,2698
890549,"Foundry USA",2025-04-02T13:08:50.000Z,13,3.168,0.043,9130,1.50,2972
890548,"MARA Pool",2025-04-02T12:55:24.000Z,17,3.164,0.039,5488,1.68,3159
890547,"ViaBTC",2025-04-02T12:38:43.000Z,5,3.147,0.022,2776,1.70,1511
890546,"Antpool",2025-04-02T12:33:47.000Z,5,3.145,0.020,851,1.44,2664
890545,"Foundry USA",2025-04-02T12:28:50.000Z,18,3.168,0.043,4794,1.64,3722
890544,"SpiderPool",2025-04-02T12:11:01.000Z,8,3.149,0.024,4804,1.80,2230
890543,"Foundry USA",2025-04-02T12:02:55.000Z,1,3.137,0.012,158,2.06,312
890542,"ViaBTC",2025-04-02T12:02:11.000Z,11,3.156,0.031,7082,1.55,2634
890541,"Luxor",2025-04-02T11:51:32.000Z,4,3.142,0.017,1902,1.80,1259
890540,"Antpool",2025-04-02T11:47:48.000Z,5,3.144,0.019,2549,1.24,1961
890539,"Foundry USA",2025-04-02T11:42:40.000Z,6,3.149,0.024,2961,1.38,2245
890538,"Luxor",2025-04-02T11:36:16.000Z,10,3.157,0.032,5082,1.65,3152
890537,"ViaBTC",2025-04-02T11:26:09.000Z,3,3.155,0.030,3192,1.68,4006
890536,"Antpool",2025-04-02T11:22:52.000Z,32,3.197,0.072,6534,1.59,3962
890535,"F2Pool",2025-04-02T10:51:01.000Z,14,3.164,0.039,4333,1.40,3032
890534,"Mining Squared",2025-04-02T10:37:30.000Z,16,3.165,0.040,6694,1.63,3720
890533,"Foundry USA",2025-04-02T10:21:21.000Z,11,3.158,0.033,5169,1.54,3197
890532,"Foundry USA",2025-04-02T10:10:10.000Z,0,3.137,0.012,308,1.53,940
890531,"SECPOOL",2025-04-02T10:09:42.000Z,2,3.144,0.019,9061,1.47,2312
890530,"Foundry USA",2025-04-02T10:07:47.000Z,19,3.175,0.050,4363,1.59,3279
890529,"SECPOOL",2025-04-02T09:48:50.000Z,24,3.178,0.053,6975,1.61,3847
890528,"Antpool",2025-04-02T09:25:00.000Z,9,3.155,0.030,2149,1.47,2638
890527,"F2Pool",2025-04-02T09:15:55.000Z,15,3.173,0.048,4093,1.80,3563
890526,"Foundry USA",2025-04-02T09:01:14.000Z,-0,3.135,0.010,1,2.15,318
890525,"ViaBTC",2025-04-02T09:01:18.000Z,6,3.151,0.026,1575,1.71,3002
890524,"ViaBTC",2025-04-02T08:55:37.000Z,4,3.155,0.030,1711,1.70,2175
890523,"Antpool",2025-04-02T08:51:17.000Z,11,3.160,0.035,2985,1.69,2455
890522,"Foundry USA",2025-04-02T08:40:24.000Z,4,3.150,0.025,1657,1.61,1385
890521,"Foundry USA",2025-04-02T08:36:00.000Z,4,3.150,0.025,1896,1.84,1772
890520,"Antpool",2025-04-02T08:31:50.000Z,2,3.149,0.024,1658,1.48,1675
890519,"F2Pool",2025-04-02T08:29:28.000Z,20,3.288,0.163,3302,1.71,3307
890518,"WhitePool",2025-04-02T08:09:34.000Z,18,3.171,0.046,6152,1.62,3469
890517,"Antpool",2025-04-02T07:51:56.000Z,7,3.158,0.033,3628,1.64,3215
890516,"Antpool",2025-04-02T07:44:58.000Z,3,3.156,0.031,2417,1.69,3542
890515,"ViaBTC",2025-04-02T07:42:22.000Z,2,3.170,0.045,2511,1.65,2432
890514,"ViaBTC",2025-04-02T07:40:07.000Z,25,3.194,0.069,6669,1.57,3397
890513,"ViaBTC",2025-04-02T07:15:16.000Z,64,3.214,0.089,7012,1.56,3261
890512,"Antpool",2025-04-02T06:10:47.000Z,-1,3.126,0.001,28,0.19,48
890511,"ViaBTC",2025-04-02T06:11:22.000Z,9,3.144,0.019,1253,1.36,1811
890510,"Foundry USA",2025-04-02T06:02:18.000Z,4,3.139,0.014,3672,1.28,2392
890509,"ViaBTC",2025-04-02T05:58:32.000Z,2,3.137,0.012,642,1.87,3316
890508,"F2Pool",2025-04-02T05:56:28.000Z,6,3.160,0.035,1361,2.19,2490
890507,"ViaBTC",2025-04-02T05:50:07.000Z,2,3.137,0.012,355,1.94,3214
890506,"Binance Pool",2025-04-02T05:47:51.000Z,14,3.166,0.041,2563,1.71,2532
890505,"MARA Pool",2025-04-02T05:34:18.000Z,1,3.145,0.020,1783,1.66,2799
890504,"Binance Pool",2025-04-02T05:33:03.000Z,43,3.190,0.065,8088,1.65,3142
890503,"Foundry USA",2025-04-02T04:49:56.000Z,1,3.126,0.001,51,0.03,83
890502,"ViaBTC",2025-04-02T04:49:20.000Z,10,3.145,0.020,1816,1.66,2224
890501,"Foundry USA",2025-04-02T04:39:12.000Z,1,3.126,0.001,52,0.12,208
890500,"ViaBTC",2025-04-02T04:38:22.000Z,3,3.134,0.009,751,0.72,1240
890499,"MARA Pool",2025-04-02T04:34:54.000Z,11,3.147,0.022,1912,2.14,2646
890498,"Foundry USA",2025-04-02T04:23:49.000Z,15,3.153,0.028,23642,1.71,2269
890497,"MARA Pool",2025-04-02T04:09:00.000Z,0,3.125,0.000,69,0.03,39
890496,"Foundry USA",2025-04-02T04:08:43.000Z,2,3.129,0.004,208,0.57,405
890495,"Foundry USA",2025-04-02T04:06:30.000Z,8,3.143,0.018,1389,1.24,1832
890494,"BTC.com",2025-04-02T03:58:14.000Z,0,3.126,0.001,55,0.21,536
890493,"Foundry USA",2025-04-02T03:58:10.000Z,13,3.149,0.024,2314,1.89,2056
890492,"Mining Squared",2025-04-02T03:45:33.000Z,11,3.153,0.028,1800,1.85,2381
890491,"WhitePool",2025-04-02T03:34:32.000Z,13,3.155,0.030,2598,1.57,2222
890490,"ViaBTC",2025-04-02T03:21:07.000Z,1,3.129,0.004,167,0.19,305
890489,"Antpool",2025-04-02T03:20:27.000Z,1,3.125,0.000,5,0.01,38
890488,"Foundry USA",2025-04-02T03:19:44.000Z,12,3.149,0.024,1839,1.81,3138
890487,"Antpool",2025-04-02T03:07:34.000Z,5,3.142,0.017,467,0.90,1779
890486,"Foundry USA",2025-04-02T03:02:17.000Z,7,3.144,0.019,1187,1.48,2386
890485,"Antpool",2025-04-02T02:55:13.000Z,22,3.164,0.039,3402,1.57,2932
890484,"Foundry USA",2025-04-02T02:33:06.000Z,3,3.131,0.006,505,0.40,741
890483,"F2Pool",2025-04-02T02:30:28.000Z,9,3.142,0.017,1538,1.04,2218
890482,"MARA Pool",2025-04-02T02:21:35.000Z,3,3.131,0.006,708,0.40,842
890481,"Antpool",2025-04-02T02:18:41.000Z,2,3.130,0.005,365,0.27,617
890480,"Antpool",2025-04-02T02:16:42.000Z,2,3.131,0.006,298,0.37,759
890479,"Antpool",2025-04-02T02:14:30.000Z,11,3.147,0.022,1755,1.83,2767
890478,"Foundry USA",2025-04-02T02:03:55.000Z,23,3.167,0.042,3344,1.54,3265
890477,"ViaBTC",2025-04-02T01:40:37.000Z,4,3.132,0.007,804,0.47,862
890476,"SpiderPool",2025-04-02T01:36:42.000Z,9,3.143,0.018,1907,0.82,1933
890475,"Binance Pool",2025-04-02T01:27:23.000Z,3,3.131,0.006,795,0.40,661
890474,"SpiderPool",2025-04-02T01:23:59.000Z,2,3.130,0.005,286,0.56,369
890473,"Foundry USA",2025-04-02T01:22:25.000Z,1,3.128,0.003,536,0.21,251
890472,"Binance Pool",2025-04-02T01:21:44.000Z,6,3.140,0.015,1302,0.65,1303
890471,"F2Pool",2025-04-02T01:15:42.000Z,3,3.132,0.007,366,1.03,1493
890470,"SBI Crypto",2025-04-02T01:12:41.000Z,10,3.147,0.022,1425,1.18,1922
890469,"SBI Crypto",2025-04-02T01:02:52.000Z,9,3.146,0.021,2184,1.45,2243
890468,"Foundry USA",2025-04-02T00:53:59.000Z,11,3.147,0.022,2481,1.77,1899
890467,"SpiderPool",2025-04-02T00:43:07.000Z,5,3.136,0.011,885,0.68,1386
890466,"Foundry USA",2025-04-02T00:38:17.000Z,0,3.125,0.000,1,0.00,7
890465,"F2Pool",2025-04-02T00:38:16.000Z,5,3.141,0.016,1444,1.53,2179
890464,"SECPOOL",2025-04-02T00:33:18.000Z,18,3.165,0.040,2427,1.59,2990
890463,"Antpool",2025-04-02T00:15:41.000Z,1,3.129,0.004,19018,0.79,676
890462,"OCEAN",2025-04-02T00:14:56.000Z,4,3.139,0.014,1223,1.70,1791
890461,"ViaBTC",2025-04-02T00:11:07.000Z,3,3.141,0.016,978,1.70,2042
890460,"Foundry USA",2025-04-02T00:08:10.000Z,10,3.158,0.033,4859,1.77,2444
890459,"Antpool",2025-04-01T23:58:09.000Z,3,3.152,0.027,2456,1.66,3285
890458,"Foundry USA",2025-04-01T23:54:51.000Z,20,3.177,0.052,5991,1.58,3480
890457,"F2Pool",2025-04-01T23:35:18.000Z,46,3.210,0.085,6876,1.51,3488
890456,"Foundry USA",2025-04-01T22:49:16.000Z,1,3.144,0.019,1217,1.53,2166
890455,"Foundry USA",2025-04-01T22:47:50.000Z,16,3.165,0.040,4002,1.57,3555
890454,"Luxor",2025-04-01T22:32:13.000Z,36,3.186,0.061,3663,1.55,3610
890453,"Foundry USA",2025-04-01T21:56:23.000Z,5,3.145,0.020,1176,1.53,1671
890452,"ViaBTC",2025-04-01T21:51:33.000Z,4,3.143,0.018,1392,1.41,1425
890451,"ViaBTC",2025-04-01T21:47:37.000Z,2,3.142,0.017,928,1.92,951
890450,"Antpool",2025-04-01T21:45:54.000Z,21,3.170,0.045,4374,1.60,3536
890449,"Foundry USA",2025-04-01T21:25:20.000Z,15,3.163,0.038,3376,1.62,3512
890448,"Braiins Pool",2025-04-01T21:10:50.000Z,10,3.155,0.030,4422,1.76,2229
890447,"Braiins Pool",2025-04-01T21:00:40.000Z,2,3.144,0.019,2108,1.75,1919
890446,"SECPOOL",2025-04-01T20:58:27.000Z,26,3.180,0.055,9833,1.54,3998
890445,"Foundry USA",2025-04-01T20:32:54.000Z,4,3.156,0.031,3249,1.66,3579
890444,"ViaBTC",2025-04-01T20:29:07.000Z,36,3.187,0.062,8358,1.50,3797
890443,"SECPOOL",2025-04-01T19:53:17.000Z,6,3.151,0.026,2646,1.70,2155
890442,"Antpool",2025-04-01T19:47:14.000Z,17,3.181,0.056,9001,1.63,3566
890441,"Foundry USA",2025-04-01T19:30:03.000Z,2,3.153,0.028,2998,1.67,2813
890440,"ViaBTC",2025-04-01T19:27:57.000Z,28,3.198,0.073,5476,1.58,3823
890439,"Poolin",2025-04-01T18:59:46.000Z,3,3.138,0.013,833,1.24,1401
890438,"Foundry USA",2025-04-01T18:56:29.000Z,15,3.169,0.044,5032,1.69,3268
890437,"ViaBTC",2025-04-01T18:41:07.000Z,7,3.152,0.027,2466,1.28,2454
890436,"Antpool",2025-04-01T18:34:31.000Z,1,3.134,0.009,425,1.27,1903
890435,"Antpool",2025-04-01T18:33:26.000Z,5,3.150,0.025,1705,1.68,1480
890434,"SpiderPool",2025-04-01T18:28:31.000Z,4,3.150,0.025,1928,1.36,1772
890433,"Braiins Pool",2025-04-01T18:24:50.000Z,5,3.155,0.030,2929,1.76,2590
890432,"ViaBTC",2025-04-01T18:19:22.000Z,8,3.160,0.035,2555,1.70,3061
890431,"SpiderPool",2025-04-01T18:11:31.000Z,9,3.169,0.044,3668,1.67,3413
890430,"ViaBTC",2025-04-01T18:02:14.000Z,26,3.186,0.061,6074,1.65,3182
890429,"OCEAN",2025-04-01T17:36:38.000Z,3,3.150,0.025,2344,1.76,2838
890428,"F2Pool",2025-04-01T17:33:36.000Z,10,3.164,0.039,4846,1.60,3058
890427,"Foundry USA",2025-04-01T17:23:15.000Z,1,3.154,0.029,4768,1.82,2929
890426,"Foundry USA",2025-04-01T17:22:32.000Z,23,3.199,0.074,8734,1.59,3218
890425,"Luxor",2025-04-01T16:59:22.000Z,23,3.181,0.056,5965,1.69,3752
890424,"Foundry USA",2025-04-01T16:36:17.000Z,20,3.180,0.055,6193,1.81,3616
890423,"Antpool",2025-04-01T16:16:11.000Z,15,3.167,0.042,7430,1.68,3286
890422,"MARA Pool",2025-04-01T16:01:40.000Z,4,3.154,0.029,1102,2.77,1324
890421,"Foundry USA",2025-04-01T15:57:46.000Z,10,3.158,0.033,4263,1.75,2713
890420,"Foundry USA",2025-04-01T15:47:53.000Z,7,3.152,0.027,3894,1.58,2401
890419,"ViaBTC",2025-04-01T15:40:42.000Z,1,3.131,0.006,794,0.35,477
890418,"Antpool",2025-04-01T15:39:29.000Z,2,3.135,0.010,1158,1.02,2419
890417,"Braiins Pool",2025-04-01T15:37:18.000Z,6,3.148,0.023,2760,1.73,2928
890416,"Luxor",2025-04-01T15:31:19.000Z,3,3.149,0.024,2759,1.68,2830
890415,"SECPOOL",2025-04-01T15:28:03.000Z,23,3.182,0.057,16917,1.58,3836
890414,"Foundry USA",2025-04-01T15:05:15.000Z,3,3.145,0.020,2208,1.59,2007
890413,"Foundry USA",2025-04-01T15:02:33.000Z,18,3.175,0.050,6945,1.62,3248
890412,"Foundry USA",2025-04-01T14:44:23.000Z,8,3.153,0.028,4986,1.52,1953
890411,"ViaBTC",2025-04-01T14:36:19.000Z,8,3.149,0.024,4352,1.47,3144
890410,"F2Pool",2025-04-01T14:28:31.000Z,3,3.136,0.011,1956,0.75,1282
890409,"ViaBTC",2025-04-01T14:25:07.000Z,5,3.145,0.020,8122,1.13,1859
890408,"SpiderPool",2025-04-01T14:19:58.000Z,1,3.131,0.006,344,0.97,1530
890407,"Foundry USA",2025-04-01T14:19:23.000Z,3,3.144,0.019,2357,1.72,2132
890406,"Antpool",2025-04-01T14:16:27.000Z,9,3.166,0.041,5523,1.72,3061
890405,"Antpool",2025-04-01T14:07:55.000Z,18,3.175,0.050,3704,1.83,1961
890404,"ViaBTC",2025-04-01T13:50:07.000Z,1,3.133,0.008,489,1.07,2151
890403,"MARA Pool",2025-04-01T13:48:58.000Z,14,3.169,0.044,7420,1.66,2986
890402,"Poolin",2025-04-01T13:35:15.000Z,2,3.132,0.007,594,0.84,1623
890401,"Foundry USA",2025-04-01T13:33:44.000Z,2,3.141,0.016,1026,1.82,2460
890400,"Foundry USA",2025-04-01T13:31:29.000Z,8,3.154,0.029,4116,1.76,3423
890399,"F2Pool",2025-04-01T13:23:36.000Z,5,3.147,0.022,2589,1.70,1930
890398,"F2Pool",2025-04-01T13:18:22.000Z,4,3.156,0.031,3531,1.88,2254
890397,"Foundry USA",2025-04-01T13:14:17.000Z,6,3.157,0.032,3660,1.61,3333
890396,"Foundry USA",2025-04-01T13:08:11.000Z,12,3.169,0.044,6072,1.62,3218
890395,"Foundry USA",2025-04-01T12:56:17.000Z,17,3.183,0.058,8268,1.71,3401
890394,"Foundry USA",2025-04-01T12:39:19.000Z,33,3.188,0.063,7810,1.61,3837
890393,"SpiderPool",2025-04-01T12:06:44.000Z,3,3.143,0.018,3539,1.82,2491
890392,"Luxor",2025-04-01T12:04:00.000Z,20,3.174,0.049,5267,1.72,3219
890391,"Foundry USA",2025-04-01T11:44:01.000Z,4,3.142,0.017,804,1.50,2232
890390,"ViaBTC",2025-04-01T11:39:33.000Z,17,3.167,0.042,5423,1.59,3713
890389,"Foundry USA",2025-04-01T11:22:24.000Z,9,3.156,0.031,4453,1.21,2927
890388,"Foundry USA",2025-04-01T11:13:05.000Z,3,3.133,0.008,457,0.43,1110
890387,"Foundry USA",2025-04-01T11:10:03.000Z,1,3.133,0.008,489,0.77,1718
890386,"ViaBTC",2025-04-01T11:09:17.000Z,4,3.142,0.017,1536,1.94,3822
890385,"F2Pool",2025-04-01T11:05:44.000Z,2,3.138,0.013,463,1.54,1231
890384,"Foundry USA",2025-04-01T11:04:08.000Z,6,3.152,0.027,2892,1.39,1781
890383,"Antpool",2025-04-01T10:58:22.000Z,5,3.148,0.023,8685,1.60,2579
890382,"MARA Pool",2025-04-01T10:53:02.000Z,8,3.156,0.031,4732,1.56,2829
890381,"Antpool",2025-04-01T10:45:22.000Z,12,3.164,0.039,9781,1.46,2934
890380,"MARA Pool",2025-04-01T10:33:43.000Z,12,3.171,0.046,4099,1.72,3431
890379,"ViaBTC",2025-04-01T10:21:40.000Z,0,3.136,0.011,162,1.81,2421
890378,"SECPOOL",2025-04-01T10:21:15.000Z,8,3.157,0.032,5698,1.70,3530
890377,"SpiderPool",2025-04-01T10:13:42.000Z,3,3.152,0.027,1396,1.70,3384
890376,"ViaBTC",2025-04-01T10:11:06.000Z,0,3.159,0.034,2801,1.70,3891
890375,"ViaBTC",2025-04-01T10:10:44.000Z,48,3.217,0.092,7175,1.55,3798
890374,"F2Pool",2025-04-01T09:23:12.000Z,4,3.152,0.027,2512,1.70,3362
890373,"Foundry USA",2025-04-01T09:19:17.000Z,24,3.183,0.058,5685,1.65,3572
890372,"Foundry USA",2025-04-01T08:55:10.000Z,1,3.137,0.012,606,1.63,2324
890371,"Antpool",2025-04-01T08:54:17.000Z,10,3.165,0.040,4017,1.66,3073
890370,"ViaBTC",2025-04-01T08:44:17.000Z,4,3.158,0.033,2587,1.65,2834
890369,"ViaBTC",2025-04-01T08:40:36.000Z,20,3.186,0.061,3725,1.52,2265
890368,"Foundry USA",2025-04-01T08:20:15.000Z,2,3.149,0.024,8071,1.72,3623
890367,"ViaBTC",2025-04-01T08:17:55.000Z,27,3.192,0.067,27546,1.48,3723
890366,"MARA Pool",2025-04-01T07:51:02.000Z,15,3.189,0.064,6335,2.38,1943
890365,"F2Pool",2025-04-01T07:35:42.000Z,9,3.158,0.033,2943,1.68,2051
890364,"Binance Pool",2025-04-01T07:26:52.000Z,4,3.147,0.022,1564,2.05,3206
890363,"Foundry USA",2025-04-01T07:22:34.000Z,3,3.148,0.023,2242,1.73,1965
890362,"OCEAN",2025-04-01T07:19:40.000Z,19,3.171,0.046,6366,1.69,3102
890361,"Foundry USA",2025-04-01T07:00:12.000Z,16,3.162,0.037,3370,2.00,2866
890360,"Foundry USA",2025-04-01T06:44:26.000Z,11,3.162,0.037,4952,1.59,2223
890359,"ViaBTC",2025-04-01T06:33:08.000Z,4,3.146,0.021,1201,1.75,1747
890358,"Foundry USA",2025-04-01T06:29:14.000Z,23,3.172,0.047,6420,1.69,2965
890357,"Carbon Negative",2025-04-01T06:06:11.000Z,2,3.139,0.014,300,1.86,2497
890356,"Antpool",2025-04-01T06:04:05.000Z,3,3.143,0.018,1423,1.63,3370
890355,"Foundry USA",2025-04-01T06:00:44.000Z,11,3.162,0.037,11089,1.58,3298
890354,"ViaBTC",2025-04-01T05:50:06.000Z,48,3.187,0.062,16151,1.60,3584
890353,"Antpool",2025-04-01T05:01:58.000Z,11,3.151,0.026,2304,1.69,2276
890352,"Foundry USA",2025-04-01T04:50:53.000Z,3,3.142,0.017,775,1.86,3702
890351,"Foundry USA",2025-04-01T04:48:16.000Z,0,3.138,0.013,1177,1.64,2931
890350,"Mining Squared",2025-04-01T04:48:00.000Z,34,3.175,0.050,5006,1.62,3206
890349,"Mining Squared",2025-04-01T04:14:03.000Z,25,3.172,0.047,22758,1.81,2598
890348,"Antpool",2025-04-01T03:49:22.000Z,1,3.136,0.011,213,1.95,1601
890347,"MARA Pool",2025-04-01T03:48:46.000Z,7,3.150,0.025,989,2.74,2192
890346,"Luxor",2025-04-01T03:42:08.000Z,15,3.154,0.029,2966,1.67,2283
890345,"SBI Crypto",2025-04-01T03:27:31.000Z,11,3.158,0.033,4837,1.62,2245
890344,"SpiderPool",2025-04-01T03:16:41.000Z,13,3.160,0.035,3771,1.89,1689
890343,"Foundry USA",2025-04-01T03:03:55.000Z,4,3.135,0.010,738,0.99,1620
890342,"F2Pool",2025-04-01T02:59:51.000Z,17,3.159,0.034,3016,1.77,2328
890341,"ViaBTC",2025-04-01T02:42:54.000Z,11,3.152,0.027,2802,1.56,1981
890340,"F2Pool",2025-04-01T02:31:30.000Z,3,3.131,0.006,1146,0.45,943
890339,"Foundry USA",2025-04-01T02:28:19.000Z,5,3.136,0.011,812,0.82,1562
890338,"Antpool",2025-04-01T02:23:28.000Z,8,3.143,0.018,4244,1.19,2187
890337,"Antpool",2025-04-01T02:15:53.000Z,-3,3.126,0.001,40,0.04,73
890336,"F2Pool",2025-04-01T02:18:46.000Z,8,3.133,0.008,563,0.56,1185
890335,"SpiderPool",2025-04-01T02:10:33.000Z,7,3.140,0.015,2269,1.15,1607
890334,"Antpool",2025-04-01T02:03:08.000Z,8,3.146,0.021,1099,1.58,3258
890333,"Luxor",2025-04-01T01:54:43.000Z,11,3.148,0.023,4596,1.77,2568
890332,"Foundry USA",2025-04-01T01:43:28.000Z,10,3.155,0.030,2806,1.83,2106
890331,"Foundry USA",2025-04-01T01:33:37.000Z,34,3.182,0.057,6222,1.55,3340
890330,"Mining Squared",2025-04-01T00:59:44.000Z,12,3.149,0.024,2022,1.50,2920
890329,"Foundry USA",2025-04-01T00:48:10.000Z,21,3.160,0.035,4704,1.80,2971
890328,"Foundry USA",2025-04-01T00:26:49.000Z,12,3.150,0.025,20972,1.77,2551
890327,"Antpool",2025-04-01T00:14:51.000Z,3,3.138,0.013,1211,1.68,2295
890326,"ViaBTC",2025-04-01T00:11:52.000Z,4,3.149,0.024,3470,1.67,2450
890325,"Foundry USA",2025-04-01T00:07:27.000Z,34,3.197,0.072,4901,1.54,3521
890324,"Foundry USA",2025-03-31T23:33:50.000Z,0,3.138,0.013,1900,1.82,1684
890323,"Foundry USA",2025-03-31T23:33:25.000Z,16,3.165,0.040,5140,1.62,2994
890322,"ViaBTC",2025-03-31T23:17:49.000Z,29,3.181,0.056,3789,1.69,2776
890321,"Foundry USA",2025-03-31T22:48:22.000Z,11,3.156,0.031,2232,1.78,2271
890320,"ViaBTC",2025-03-31T22:37:33.000Z,13,3.154,0.029,4820,1.75,2734
890319,"ViaBTC",2025-03-31T22:24:06.000Z,2,3.137,0.012,1374,1.86,2219
890318,"Antpool",2025-03-31T22:22:27.000Z,20,3.163,0.038,3497,1.61,3111
890317,"Foundry USA",2025-03-31T22:02:27.000Z,25,3.165,0.040,5201,1.52,3575
890316,"ViaBTC",2025-03-31T21:37:14.000Z,1,3.129,0.004,1408,0.22,417
890315,"Antpool",2025-03-31T21:35:59.000Z,2,3.128,0.003,1954,0.14,332
890314,"MARA Pool",2025-03-31T21:34:02.000Z,-0,3.127,0.002,453,0.17,344
890313,"MARA Pool",2025-03-31T21:34:20.000Z,4,3.131,0.006,943,0.64,548
890312,"Foundry USA",2025-03-31T21:30:15.000Z,7,3.145,0.020,3426,1.32,1893
890311,"Foundry USA",2025-03-31T21:22:46.000Z,8,3.146,0.021,2765,1.25,1994
890310,"MARA Pool",2025-03-31T21:14:56.000Z,6,3.140,0.015,3173,1.78,1208
890309,"ViaBTC",2025-03-31T21:09:20.000Z,8,3.151,0.026,2968,1.59,2016
890308,"Antpool",2025-03-31T21:01:18.000Z,1,3.132,0.007,438,0.64,486
890307,"ViaBTC",2025-03-31T20:59:52.000Z,1,3.128,0.003,452,0.24,231
890306,"ViaBTC",2025-03-31T20:58:54.000Z,4,3.139,0.014,12047,1.60,1466
890305,"Antpool",2025-03-31T20:54:41.000Z,8,3.148,0.023,2892,1.47,2093
890304,"MARA Pool",2025-03-31T20:47:00.000Z,17,3.167,0.042,26651,1.67,3095
890303,"ViaBTC",2025-03-31T20:30:18.000Z,2,3.134,0.009,695,0.74,1864
890302,"Antpool",2025-03-31T20:28:23.000Z,1,3.128,0.003,208,0.58,665
890301,"ViaBTC",2025-03-31T20:27:49.000Z,1,3.136,0.011,317,1.22,673
890300,"F2Pool",2025-03-31T20:27:04.000Z,13,3.158,0.033,4625,1.86,3315
890299,"SpiderPool",2025-03-31T20:13:55.000Z,6,3.161,0.036,6836,1.81,2300
890298,"Antpool",2025-03-31T20:08:24.000Z,16,3.211,0.086,7965,1.71,2744
890297,"MARA Pool",2025-03-31T19:52:25.000Z,8,3.170,0.045,4067,1.79,2319
890296,"ViaBTC",2025-03-31T19:44:16.000Z,16,3.289,0.164,6181,1.67,3214
890295,"SECPOOL",2025-03-31T19:28:31.000Z,0,3.139,0.014,278,1.25,719
890294,"Foundry USA",2025-03-31T19:28:06.000Z,13,3.179,0.054,7151,1.66,3310
890293,"Antpool",2025-03-31T19:14:57.000Z,15,3.195,0.070,5554,1.66,3380
890292,"Foundry USA",2025-03-31T19:00:03.000Z,3,3.148,0.023,6108,1.91,1908
890291,"F2Pool",2025-03-31T18:57:33.000Z,7,3.166,0.041,3887,1.85,2739
890290,"Foundry USA",2025-03-31T18:50:39.000Z,20,3.176,0.051,4853,1.65,3278
890289,"Foundry USA",2025-03-31T18:30:17.000Z,11,3.163,0.038,3283,1.66,2956
890288,"ViaBTC",2025-03-31T18:19:36.000Z,2,3.144,0.019,1402,1.73,2185
890287,"Foundry USA",2025-03-31T18:17:23.000Z,3,3.153,0.028,3843,1.84,2045
890286,"MARA Pool",2025-03-31T18:14:22.000Z,10,3.168,0.043,9649,1.66,3423
890285,"MARA Pool",2025-03-31T18:04:30.000Z,8,3.182,0.057,7072,1.65,3659
