Block Height,Mining Pool,Timestamp,Found In (min),Block Reward (BTC),Fees (BTC),Total Input (BTC),Size (MB),Tx Count
890802,"Foundry USA",2025-04-04T02:19:41.000Z,13,3.176,0.051,3414,1.56,2724
890801,"Antpool",2025-04-04T02:06:44.000Z,2,3.142,0.017,616,1.36,1550
890800,"Foundry USA",2025-04-04T02:04:54.000Z,33,3.275,0.150,7277,1.81,3368
890799,"F2Pool",2025-04-04T01:32:16.000Z,9,3.157,0.032,1834,1.64,3609
890798,"Foundry USA",2025-04-04T01:23:42.000Z,3,3.144,0.019,925,1.74,4431
890797,"ViaBTC",2025-04-04T01:20:40.000Z,0,3.136,0.011,99,1.88,3873
890796,"ViaBTC",2025-04-04T01:20:11.000Z,6,3.149,0.024,2406,1.64,3286
890795,"F2Pool",2025-04-04T01:13:54.000Z,13,3.157,0.032,2504,1.56,2159
890794,"Antpool",2025-04-04T01:00:31.000Z,4,3.142,0.017,1064,1.73,3906
890793,"Foundry USA",2025-04-04T00:56:23.000Z,3,3.141,0.016,912,1.75,4147
890792,"Foundry USA",2025-04-04T00:52:59.000Z,6,3.144,0.019,1348,1.69,3497
890791,"SECPOOL",2025-04-04T00:46:48.000Z,0,3.135,0.010,73,1.70,3533
890790,"Foundry USA",2025-04-04T00:46:39.000Z,10,3.150,0.025,6568,1.47,1839
890789,"Foundry USA",2025-04-04T00:36:54.000Z,20,3.158,0.033,4876,1.55,2408
890788,"SpiderPool",2025-04-04T00:17:12.000Z,2,3.140,0.015,19451,2.00,4048
890787,"ViaBTC",2025-04-04T00:14:44.000Z,6,3.145,0.020,1777,1.61,3377
890786,"Foundry USA",2025-04-04T00:08:45.000Z,3,3.140,0.015,1058,1.87,3824
890785,"Foundry USA",2025-04-04T00:05:31.000Z,3,3.144,0.019,1358,1.81,3866
890784,"Foundry USA",2025-04-04T00:02:06.000Z,6,3.150,0.025,1049,1.69,3888
890783,"Antpool",2025-04-03T23:56:12.000Z,12,3.154,0.029,6194,1.62,3244
890782,"F2Pool",2025-04-03T23:44:03.000Z,4,3.139,0.014,1105,1.32,3061
890781,"Antpool",2025-04-03T23:39:40.000Z,2,3.138,0.013,707,1.87,2356
890780,"Foundry USA",2025-04-03T23:37:52.000Z,3,3.140,0.015,593,2.94,2255
890779,"Antpool",2025-04-03T23:35:04.000Z,5,3.149,0.024,1164,1.93,3298
890778,"Foundry USA",2025-04-03T23:30:26.000Z,6,3.146,0.021,1966,1.78,3414
890777,"Foundry USA",2025-04-03T23:24:42.000Z,1,3.132,0.007,394,1.07,2580
890776,"Foundry USA",2025-04-03T23:23:58.000Z,11,3.152,0.027,4668,1.88,3460
890775,"ViaBTC",2025-04-03T23:13:08.000Z,10,3.153,0.028,1555,1.57,3417
890774,"Antpool",2025-04-03T23:03:37.000Z,2,3.142,0.017,2581,1.38,1159
890773,"Foundry USA",2025-04-03T23:01:47.000Z,27,3.185,0.060,6353,1.46,3416
890772,"ViaBTC",2025-04-03T22:34:55.000Z,6,3.148,0.023,1048,1.63,3475
890771,"Foundry USA",2025-04-03T22:29:02.000Z,7,3.148,0.023,1610,1.58,3719
890770,"Antpool",2025-04-03T22:22:23.000Z,5,3.142,0.017,2065,1.50,3170
890769,"Antpool",2025-04-03T22:17:41.000Z,2,3.135,0.010,669,1.32,3300
890768,"Foundry USA",2025-04-03T22:15:53.000Z,7,3.150,0.025,1931,1.61,3506
890767,"Antpool",2025-04-03T22:09:06.000Z,6,3.146,0.021,1177,1.81,4010
890766,"Foundry USA",2025-04-03T22:02:43.000Z,8,3.152,0.027,3520,1.85,2851
890765,"ViaBTC",2025-04-03T21:54:38.000Z,4,3.144,0.019,1166,1.65,3205
890764,"Antpool",2025-04-03T21:51:04.000Z,2,3.138,0.013,1090,1.98,1991
890763,"Mining Squared",2025-04-03T21:49:31.000Z,9,3.159,0.034,5054,1.42,2451
890762,"F2Pool",2025-04-03T21:40:07.000Z,2,3.153,0.028,2489,1.57,2135
890761,"Foundry USA",2025-04-03T21:38:22.000Z,32,3.191,0.066,9341,1.51,3956
890760,"ViaBTC",2025-04-03T21:06:23.000Z,1,3.142,0.017,569,1.20,560
890759,"MARA Pool",2025-04-03T21:05:12.000Z,4,3.156,0.031,2599,1.55,2015
890758,"F2Pool",2025-04-03T21:01:39.000Z,24,3.186,0.061,18948,1.66,3285
890757,"Antpool",2025-04-03T20:38:03.000Z,13,3.163,0.038,12184,1.57,2588
890756,"F2Pool",2025-04-03T20:25:33.000Z,16,3.165,0.040,10554,1.81,3214
890755,"Foundry USA",2025-04-03T20:09:43.000Z,14,3.162,0.037,4842,1.81,2964
890754,"Foundry USA",2025-04-03T19:55:46.000Z,11,3.160,0.035,4972,1.63,2478
890753,"F2Pool",2025-04-03T19:44:17.000Z,2,3.144,0.019,694,1.96,749
890752,"F2Pool",2025-04-03T19:42:00.000Z,1,3.142,0.017,1580,2.51,237
890751,"Antpool",2025-04-03T19:41:11.000Z,11,3.161,0.036,4470,1.56,2609
890750,"Mining Squared",2025-04-03T19:30:14.000Z,1,3.141,0.016,309,1.02,184
890749,"F2Pool",2025-04-03T19:28:57.000Z,9,3.159,0.034,5692,1.41,2339
890748,"Foundry USA",2025-04-03T19:19:33.000Z,1,3.142,0.017,365,1.08,368
890747,"Antpool",2025-04-03T19:18:27.000Z,11,3.163,0.038,4382,1.51,2701
890746,"Foundry USA",2025-04-03T19:06:58.000Z,8,3.156,0.031,4244,1.40,2064
890745,"Foundry USA",2025-04-03T18:59:09.000Z,5,3.152,0.027,5505,1.58,2275
890744,"SBI Crypto",2025-04-03T18:54:22.000Z,13,3.177,0.052,12547,1.58,2612
890743,"Antpool",2025-04-03T18:41:19.000Z,14,3.179,0.054,9319,1.45,2943
890742,"Antpool",2025-04-03T18:27:12.000Z,5,3.155,0.030,2734,1.99,2661
890741,"Foundry USA",2025-04-03T18:21:53.000Z,1,3.151,0.026,1443,2.09,427
890740,"Foundry USA",2025-04-03T18:20:32.000Z,-0,3.146,0.021,89,2.15,197
890739,"Foundry USA",2025-04-03T18:20:40.000Z,13,3.177,0.052,22517,1.69,3068
890738,"Mining Squared",2025-04-03T18:07:59.000Z,11,3.172,0.047,6783,1.61,3028
890737,"ViaBTC",2025-04-03T17:56:41.000Z,4,3.156,0.031,18634,1.77,2016
890736,"F2Pool",2025-04-03T17:53:08.000Z,8,3.170,0.045,24635,1.68,3401
890735,"Foundry USA",2025-04-03T17:45:35.000Z,3,3.167,0.042,1975,1.66,3524
890734,"Antpool",2025-04-03T17:43:03.000Z,6,3.175,0.050,7448,1.58,3174
890733,"Foundry USA",2025-04-03T17:37:08.000Z,3,3.178,0.053,10072,1.51,2973
890732,"SECPOOL",2025-04-03T17:34:24.000Z,30,3.212,0.087,7210,1.55,3761
890731,"ViaBTC",2025-04-03T17:04:18.000Z,41,3.258,0.133,8510,1.52,3769
890730,"Foundry USA",2025-04-03T16:23:04.000Z,22,3.232,0.107,6375,1.60,3705
890729,"SECPOOL",2025-04-03T16:01:31.000Z,18,3.200,0.075,6744,1.59,3747
890728,"Antpool",2025-04-03T15:43:35.000Z,15,3.189,0.064,5896,1.68,3273
890727,"Foundry USA",2025-04-03T15:28:46.000Z,1,3.147,0.022,383,1.83,3615
890726,"SpiderPool",2025-04-03T15:27:34.000Z,6,3.156,0.031,2966,1.70,3658
890725,"Antpool",2025-04-03T15:21:30.000Z,1,3.136,0.011,224,1.67,3812
890724,"ViaBTC",2025-04-03T15:20:41.000Z,6,3.153,0.028,3000,1.66,3859
890723,"F2Pool",2025-04-03T15:15:08.000Z,3,3.149,0.024,1601,1.38,1440
890722,"Antpool",2025-04-03T15:12:35.000Z,9,3.179,0.054,4339,1.63,2921
890721,"ViaBTC",2025-04-03T15:03:11.000Z,15,3.199,0.074,15095,1.60,3319
890720,"Foundry USA",2025-04-03T14:48:24.000Z,0,3.139,0.014,173,1.25,393
890719,"ViaBTC",2025-04-03T14:48:23.000Z,6,3.161,0.036,5653,1.38,1893
890718,"F2Pool",2025-04-03T14:42:28.000Z,9,3.183,0.058,8355,1.66,2616
890717,"F2Pool",2025-04-03T14:33:52.000Z,0,3.142,0.017,389,1.26,1195
